about_us; "About Us"
cheque; "Cheque"
chess_events; "Chess Events"
chess_classes; "Chess classes"
chess_mentor; "Chess Mentor"
chess_mentor_exercises; "Chess Mentor Exercises"
chess_mentor_exercises_report; "Chess Mentor Exercises Report"
chess_in_schools; "Chess In Schools"
chief_arbiter; "Chief Arbiter"
choose_lesson_first; "Choose lesson before press Ok"
choose_program; "choose program"
city; "City"
class; "Class"
class_games; "Class Games"
class_materials; "Class Materials"
class_materials_s; "Class Materials (%s)"
class_materials_confirmation; "After saving class materials, all previous results will be cleared. You sure you want to save class materials?"
class_materials_was_successfully_added; "Class materials was successfully added"
class_materials_was_successfully_deleted; "Class materials was successfully deleted"
clear; "Clear"
click_here_to_confirm_registration; "Click here to confirm registration"
click_here_to_reset_password; "Click here to reset password"
close; "Close"
cms; "CMS"
cma; "CMA"
cma_grade_code; "CMA Grade Code"
cma_id; "CMA ID"
cfc_id; "CFC ID"
cma_players; "CMA Players"
cfc_players; "CFC Players"
cfc_rating_for_date_s_cant_be_deleted; "CFC Rating for date %s can't be deleted."
cfc_rating_has_been_deleted_for_date_s; "CFC Rating has been deleted for date %s."
cfc_rating_has_been_uploaded_import_in_progress; "CFC Rating has been uploaded. Import in progress."
cfc_rating_queue; "CFC Rating Queue"
cfc_rating_players; "CFC Rating Players"
cma_rating_for_date_s_cant_be_deleted; "CMA Rating for date %s can't be deleted."
cma_rating_has_been_deleted_for_date_s; "CMA Rating has been deleted for date %s."
cma_rating_has_been_uploaded_import_in_progress; "CMA Rating has been uploaded. Import in progress."
cma_rating_queue; "CMA Rating Queue"
cma_rating_players; "CMA Rating Players"
cma_or_cfc; "CMA/CFC"
coach_default_group_classes_rate; "Coach Default Group Classes Rate"
coach_with_provided_email_is_not_found; "Coach with provided email is not found"
coach_have_group_lessons_in_this_day_or_time; "Coach have group lessons in this day or time."
coach_have_private_lessons_in_this_day_or_time; "Coach have private lessons in this day or time."
coach; "Coach"
coach_price; "Coach Price"
coach_name; "Coach Name"
coach_rate; "Coach Rate"
coaches; "Coaches"
code_cfc; "Code CFC"
code_cma; "Code CMA"
code_cma_cfc_already_exists; "Code CMA/CFC already exists"
code_cma_empty_if_new; "Code CMA (Empty if new to CMA)"
code_cfc_empty_if_new; "Code CFC (Empty if new to CFC)"
comment; "Comment"
comments; "Comments"
comment_bought_lesson; "Comment bought lesson"
completed; "Completed"
completion; "Completion"
computer_player; "Computer player"
computer_players; "Computer players"
conference_meeting_slips; "Conference Meeting Slips"
confirm_password; "Confirm Password"
confirmation_email_message_was_sent; "Confirmation email message was sent. To proceed, please check your email."
confirmed; "Confirmed"
content; "Content"
content_editor; "Content Editor"
content_editors; "Content Editors"
continue; "Continue"
continue_tournament; "Continue Tournament"
control; "Control"
control_all; "Control All"
confirm_players_s; "Confirm players for tournament %s"
consent_form; "Consent Form"
consent_forms; "Consent Forms"
copy; "Copy"
cound_not_save; "Could not save"
count; "Count"
country; "Country"
color; "Color"
create_account; "Create Account"
create_account_from_assessment; "Create Account From Assessment"
creator; "Creator"
credit_card; "Credit Card"
credit_card_has_expired; "The credit card has expired."
currency; "Currency"
current_home_exercise; "Current Home Exercise"
current_students; "Current Students"
current_location; "Current Location"
cvv2; "CVV"
cvv2_ae; "For American Express, it's the four digits on the front of the card."
cvv2_visa; "For MasterCard, Visa or Discover, it's the last three digits in the signature area on the back of your card."
list; "List"
login_error_user_mast_login_as_parent; "Please log in as a parent to purchase the classes."
login_error_user_mast_has_student_role; "You can not be registered to the group %group% because you are not a student."
login_error_user_not_confirmed; "User is not confirmed"

date; "Date"
date_from; "From"
date_to; "To"
date_of_birth_format; "Date of Birth (YYYY-MM-DD)"
date_of_birth; "Date of Birth"
date_of_the_meeting; "Date of the Meeting"
date_must_not_be_earlier_than_s; "Date must not be earlier than %s"
date_must_be_in_the_future; "Date must be in the future"
date_must_be_in_the_past; "Date must be in the past"
date; "Date"
day; "Day"
day_time_phone; "Day Time Phone #"
debt; "Debt"
debts_report; "Debts Report"
december; "December"
decline; "Decline"
decline_confirmation; "You sure you want to cancel tournament registration?"
delete_file_from_server; "Delete file from server"
delete_from_team; "Drag user here to delete from team"
delete_image; "Delete Image"
delete; "Delete"
description; "Description"
default_from; "Default from"
default_payment_item; "Default Payment Item"
default_to; "Default to"
down; "Down"
download; "Download"
download_list; "Download Members List"
download_pdf; "Download PDF"
do_you_want_to_continue; "Do you want to continue?"
do_you_want_to_finish_tournament_for_selected_group_in_previous_round; "Do you want to finish the tournament for selected group in previous round? \"Ok\" - finish in previous round. \"Cancel\" - finish in current round."
draw; "Draw"
duration; "Duration"
difficulty_level; "Difficulty Level"
difficulty_levels; "Difficulty Levels"
direct_payment; "Direct Payment"
direct_registration; "Direct Registration"
due_date; "Due Date"

eco; "ECO"
edit_access; "Edit access"
edit_arbiter_for_tournament_s; "Edit Arbiter for Tournament %s"
edit_bought_lesson; "Edit bought lesson"
edit_computer_player; "Edit Computer player"
edit_famous_game; "Edit Famous Game"
edit_famous_game_by_viewer; "Edit Famous Game By Viewer"
edit_game; "Edit Game"
edit_grade; "Edit Grade"
edit_group; "Edit Group"
edit_office; "Edit office"
edit_payment_item_type; "Edit Payment Item Type"
edit_payment_item; "Edit Payment Item"
edit_payment_option; "Edit Payment Option"
edit_role; "Edit Role"
edit_role_s_access; "Edit Role %s access"
edit_position_to_play; "Edit Position to play"
edit_scheduled_lesson; "Edit Scheduled Lesson"
edit_slider_item; "Edit Slider Item"
edit_branch_manager; "Edit Branch Manager"
edit_team; "Edit Team"
edit_transaction; "Edit Transaction"
edit_video_lesson; "Edit Video Lesson"
edit; "Edit"
view_rendered_email; "View Rendered Email"
view_tactic; "View Tactic"
email; "Email"
email_to_parent; "Email To Parent"
entity_has_been_marked_as_test; "Entity has been marked as test"
entity_has_been_marked_as_required; "Entity has been marked as required"
entity_has_been_marked_as_homework; "Entity has been marked as homework"
entity_has_been_marked_as_not_test; "Entity has been marked as not test"
entity_has_been_marked_as_not_required; "Entity has been marked as not required"
entity_has_been_marked_as_not_homework; "Entity has been marked as not homework"
entities_has_been_deleted; "Entities has been deleted"
entry_fee; "Entry Fee"
end_date; "End Date"
end_date_is_earlier_than_start_date; "'End Date' is earlier than 'Start Date'"
end_time_must_be_later_start_time; "end time must be later than start time"
end_time; "End time"
end_time_is_earlier_than_start_time; "'End time' is earlier than 'Start time'"
enrolled; "Enrolled"
enrolment_statistics; "Enrolment Statistics"
evaluation_form; "Evaluation Form"
evaluation_forms; "Evaluation Forms"
event_date; "Event date"
event_types; "Event Types"
event; "Event"
events_default_view; "Events Default View"
every_checked_student_must_be_in_a_group_and_learn_one_program; "Every checked student must be in a group and learn one program"
exclude; "Exclude"
exclude_from_reports; "Exclude From Reports"
excluded; "Excluded"
exclude_field; "Excluded from Reports"
expiration_date; "Expiration Date"
expired; "Expired"
expired_interval; "Expired Interval"
export_clublist_cma; "Export Clublist CMA"
export_clublist_cfc; "Export Clublist CFC"
export_cma; "Export to CMA"
export_pgn; "Export PGN"
edit_assessment; "Edit Assessment"
edit_consent_form; "Edit Consent Form"
edit_email_template; "Edit Email Template"
edit_event_type; "Edit Event Type"
edit_admin; "Edit Admin"
edit_user; "Edit User"
edit_user_s_rate; "Edit User %s Rate"
edit_performance_indicator; "Edit Performance Indicator"
edit_product; "Edit Product"
edit_program; "Edit Program"
edit_private_lesson; "Edit Private Lesson"
edit_news; "Edit News"
edit_lesson; "Edit Lesson"
edit_position; "Edit Position"
edit_position_by_viewer; "Edit Position By Viewer"
edit_heading; "Edit Heading"
edit_test; "Edit Test"
edit_theme; "Edit Theme"
edit_time_control; "Edit Time control"
edit_tournament; "Edit Tournament"
edit_level; "Edit Level"
edit_location; "Edit Location"
edit_age_group; "Edit Age Group"
edit_coach; "Edit Coach"
emergency_phone; "Emergency Phone #"
empty_if_new_to_cma; "Empty if new to CMA"
empty_if_new_to_cfc; "Empty if new to CFC"
execute; "Execute"
excellent_play_you_won_this_game; "Excellent play! You won this game!"
expense; "Expense"
expected_payment; "Expected Payment"
expert; "Expert"
error_has_occurred_please_contact_your_administrator, "Error has occurred. Please, contact your administrator."
error_during_replace_missed_lesson; "Error has been occurred during replace missed lesson."
failed; "Failed"
failure; "Failure"
famous_game; "Famous game"
famous_games; "Famous games"
famous_games_s; "Famous games (%s)"
famous_game_successfully_accepted; "Famous Game successfully accepted"
february; "February"
female; "Female"
fide; "FIDE"
file_flv; "File (*.flv)"
file; "File"
file_invalid_extension; "Invalid file extension, allowed only 'pgn' file format"
file_invalid_size; "Invalid file size, file size limit is 10240 bytes"
file_requirements; "File extension must be 'pgn' and file size must be less than 10240 bytes"
files; "Files"
fill; "Fill"
fill_swiss; "Fill Swiss"
fill_swiss_confirmation; "This button will remove all groups and group all players into one swiss group. You sure you want to continue?"
final_score; "Final Score"
finish; "Finish"
finish_tournament; "Finish Tournament"
finished_at; "Finished At"
finished; "Finished"
first_name; "First Name"
first_name_last_name; "First Name Last Name"
first_round_bye; "First Round Bye"
fix_board; "Fix board"
fixed_cost; "Fixed Cost"
flat_rate; "Flat rate"
flip_board; "Flip board"
forgot_password; "Forgot Password"
format; "Format"
former_students; "Former Students"
free_lesson; "FREE"
free_video; "Free Video"
friday; "Friday"
from; "From"
from_s; "From %s"
from_date; "From Date"
from_time; "From Time"
from_time_of_the_meeting; "From Time of the Meeting"
from_year; "From Year"
from_month; "From Month"
from_date_must_be_later_then_first_september; "From Date must be later then 2014-09-01"
to; "To"
to_time_must_be_later_from_time; "To Time must be later then From Time"
to_date_must_be_later_from_date; "To Date must be later then From Date"
to_year; "To Year"
to_month; "To Month"
full_name; "Full Name"
facebook_link; "Facebook Link"

game; "Game"
games; "Games"
games_vs_computer; "Games vs Computer"
gender; "Gender"
general_schedule; "General Schedule"
generate; "Generate"
get_news; "Receive news and updates"
guest_login; "Guest login"
guest_registered_to_tournament; "Guest registered to Tournament"
grades; "Grades"
grade; "Grade"
gradation; "Gradation"
group_classes; "Group Classes"
group_classes_rate; "Group Classes Rate"
group_classes_rate_type; "Group Classes Rate Type"
group_classes_per_student_rate; "Group Classes Per Student Rate"
group_does_not_have_active_payment_item; "This group doesn't have active payment item. Please add active payment item and try again."
group_is_full; "Group is full"
group_lesson; "Group Lesson"
group_lesson_s; "Group Lesson %s"
group_lessons; "Group lessons"
group_students; "%s students"
group_players_s; "Group players for tournament %s"
group_performance; "Group Performance"
group_performance_report; "Group Performance Report"
group_/_name; "Group/Name"
group; "Group"
group_tournaments; "Group Tournaments"
group_tournament; "Group Tournament"
group_tournament_s_students; "Group Tournament %s Students"
group_n; "Group #"
groups_students_count_s; "Groups (Total Students: %s)"
groups; "Groups"
group_should_contain_at_least_s_players; "Every group should contain at least %s players"

heading_/_theme; "Heading/Theme"
heading_theme; "Heading - Theme"
heading; "Heading"
headings; "Headings"
hello_s; "Hello, %s"
hours; "Hours"
home_exercises_already_served_out; "Home exercises already distributed"
home_exercises_archive; "Home Exercises Archive"
home_exercises_successfully_served_out; "Home exercises successfully distributed"
home_exercises; "Home Exercises"
home; "Home"
homework; "Homework"
homework_was_successfully_taken; "Homework was successfully taken."
homework_was_successfully_submitted; "Homework was successfully submitted"
homework_was_successfully_removed; "Homework was successfully removed"
homework_already_submitted; "Homework already submitted"
homework_is_not_submitted_yet; "Homework is not submitted yet"
homework_remove_first; "Remove homework before lesson delete"
homepage_news_count; "Homepage News Count"
homepage; "Homepage"
home_office_in_footer; "Home Office in Footer"
hidden; "Hidden"
hide; "Hide"
hide_monthly_closing_transactions; "Hide Monthly Closing Transactions"
hide_total_sum; "Hide Total Sum"
highest; "Highest"
highest_rating; "Highest Rating"

id; "ID"
image; "Image"
import; "Import"
import_cfc_rating; "Import CFC Rating"
import_cma_rating; "Import CMA Rating"
in_progress; "In progress"
in_schedule; "In Schedule"
increase_balance; "Increase balance"
incorrect; "Incorrect"
incorrect_try_again; "Incorrect. Try again."
income_statement; "Income Statement"
income; "Income"
include; "Include"
include_into_reports; "Include Into Reports"
increment; "Increment"
input_fen; "Input FEN"
interval; "Interval"
interval_added_successfully; "Interval added successfully"
interval_added_successfully_s_except_s; "Intervals added successfully%s, except %s"
interval_saved_successfully; "Interval saved successfully"
interval_wizard; "Interval Wizard"
interrupted; "Interrupted"
intermediate; "Intermediate"
invalid_date_format; "Invalid date format"
is_active; "Active"
is_confirmed; "Confirmed"
is_enabled; "Is Enabled"
is_free; "Is Free"
is_full_program_payment; "Is full program payment"
is_full; "Is Full"
is_required; "Is Required"
is_right; "Is Right"
is_show; "Is show"
is_show_on_programs_page; "Is show on Programs page"
is_tournament; "Is Tournament"
is_homework; "Is Homework"
is_hidden; "Is Hidden"
is_invisible; "Is Invisible"
is_test; "Is Test"
is_waiting_list; "Is Waiting List"
items_not_selected; "Items not selected"
items_successfully_bought; "Payment completed."
items_already_bought; "You have already completed this payment"

january; "January"
join; "Join"
join_date; "Join Date"
july; "July"
june; "June"

language; "Language"
last_name; "Last Name"
last_payment; "Last Payment"
layout; "Layout"
leave; "Leave"
leave_confirm_title; "You sure you want user to leave the group?"
leave_confirm_message; "During leave group process will be removed all planned lessons for user after leave date."
leave_group; "Leave Group"
leave_date; "Leave date"
leave_the_team; "Leave the Team?"
lesson_added_to_basket; "Lesson added to basket"
lesson_added; "Lesson added successfully."
lesson_already_added_to_basket; "Lesson already added to basket"
lesson_already_added_to_this_scheduled_lesson; "Lesson already added to this scheduled lesson"
lesson_already_has_been_read; "This lesson already has been read for this group. Save anyway?"
lesson_can_not_added; "Because you are signed in as a parent, you need to set your child as “active” before you purchase his/her lesson."
lesson_deleted; "Lesson deleted successfully."
lesson_description; "Lesson description"
lesson_has_been_already_bought; "Lesson has been bought earlier."
lesson_presentation; "Lesson %s Presentation"
lesson_s_games; "Lesson ""%s"" Games"
lesson_s_students; "Lesson ""%s"" Students"
lesson_saved_successfully; "Lesson saved successfully"
lesson_successfully_booked; "Lesson successfully booked"
lesson_successfully_removed; "Lesson successfully removed"
lesson_successfully_selected; "Lesson successfully selected"
lesson_title; "Lesson Title"
lesson; "Lesson"
lesson_already_added_to_tournament; "Lesson already added to Tournament"
lessons_total_s; "Lessons (Total: %s)"
lessons; "Lessons"
lessons_count; "Lessons count"
lesson_successfully_accepted; "Lesson successfully accepted"
lesson_successfully_deleted; "Lesson successfully deleted"
lesson_successfully_rejected; "Lesson successfully rejected"
lesson_successfully_submited; "Lesson successfully submited"
lessons_wizard; "Lessons Wizard"
lessons_wizard_step1; "Lessons Wizard: Step 1"
lessons_wizard_step2; "Lessons Wizard: Step 2"
lessons_wizard_add_lesson; "Lessons Wizard: Step 2 : Add lesson"
level_confirmation_s_s; "Your level is %s, and lesson level is %s."
level; "Level"
levels; "Levels"
load_fen; "Load FEN"
location; "Location"
locations; "Locations"
location_default; "Location Default"
location_default_location; "Location Default Location"
location_default_country; "Location Default Country"
location_default_state; "Location Default State"
location_default_city; "Location Default City"
lock; "Lock"
locked; "Locked"
login; "Login"
login_as; "Login as"
login_error; "Your Login (or/and) Password (is/are) not correct"
login_error_account_blocked; "Your account is blocked"
logout_success; "You have logged out successfully"
logout; "Logout"
lose; "Lose"
link; "Link"

item_succesfully_deleted_from_basket; "Lesson was succesfully deleted from the basket"

mark_as_deleted; "Mark as Deleted"
mark_as_paid; "Mark as Paid"
march; "March"
mastercard; "Mastercard"
may; "May"
main_rating; "Main Rating"
male; "Male"
max_duration; "Max duration"
max_duration_is_less_than_min_duration; "'Max duration' is less than 'Min duration'"
media; "Media"
materials; "Materials"
materials_count_s_s_s; "Positions: <span id='positions_count'>%s</span>, Positions To Play: <span id='positions_to_play_count'>%s</span>, Class Materials: <span id='class_materials_count'>%s</span>"
method; "Method"
member_name; "Member Name"
member_rating; "Member Rating"
message; "Message"
module; "Module"
module_lesson_count; "Module Lesson Count"
monday; "Monday"
month; "Month"
monthly_bulletins; "Monthly Bulletins"
monthly_closing; "Monthly closing"
monthly_closing_for_s; "Monthly closing report for %s"
my_address; "My Address"
my_basket_s; "My Basket (%s)"
my_basket; "My Basket"
empty_basket; "Basket is empty."
my_city; "My City"
my_date_of_birth; "My Date of Birth"
my_email; "My Email"
my_first_name; "My First Name"
my_homework; "My Homework"
my_last_name; "My Last Name"
my_lessons; "My Lessons"
my_phone_number; "My Phone Number"
my_profile; "My Profile"
my_private_lessons; "My Private Lessons"
my_rating; "My Rating"
my_schedule; "My Schedule"
my_team; "My Team"
my_tournaments; "My Tournaments"
my_video_lessons; "My Video Lessons"
min_duration; "Min duration"
mistakes_allowed; "Mistakes allowed"
missed_lesson_replaced_upcoming_lesson; "The missed lesson was replaced with an upcoming lesson."
missed_lesson_was_successfully_canceled; "Missed lesson was successfully canceled"
missed_lessons; "Missed lessons"

name; "Name"
name_should_be_unique; "Name should be unique for each program"
name_should_be_unique_for_each_consent_form; "Name should be unique for each consent form"
need_login; "Need login"
new; "New"
new_assessment_request; "New assessment request"
news; "News"
news_delete; "News Delete"
next; "Next"
next_round; "Next Round"
no_classes_from_date; "No classes from Date"
no_classes_to_date; "No classes to Date"
no_coaches; "No Coaches"
no_data_message; "No Data"
no_events; "No Events"
no_groups; "No Groups"
no_lessons; "No Lessons"
no_lessons_in_program; "no lessons in selected program"
no_home_exercises; "No home exercises"
no_registration; "No Registration"
no_permissions; "Access denied"
no_team_assigned; "No Team Assigned"
no; "No"
none; "None"
notes; "Notes"
november; "November"
number; "Number"
cma; "CMA"

ok; "Ok"
october; "October"
office; "Office"
office_busy_on_this_day_and_time; "This office is busy on this day and time."
offices; "Offices"
offices_s; "Offices (%s)"
open; "Open"
order; "Order"
organizer; "Organizer"
on_site_registration; "On site registration"
online; "Online"
only_following_roles_allowed; "Only following roles allowed: Parent, Parent&Student, Student/Player (Adult)"
other_comments; "Other comments"
our_school; "Our school"
out_of_seats_available; "Out of seats available. Please increase scheduled lesson seats and try again."

pages; "Pages"
paid; "Paid"
parent; "Parent"
parent_adult_registration; "Parent/Adult Registration"
parent_adult; "Parent/Adult"
parent_account; "Parent Account"
parent_email; "Parent Email"
parent_phone; "Parent Phone"
parent_last_name; "Parent Last Name"
parent_first_name; "Parent First Name"
parent_last_name_label; "Parent Last Name (empty for adult student)"
parent_first_name_label; "Parent First Name (empty for adult student)"
parent_date_of_birth_format_label; "Parent Date of Birth, YYYY-MM-DD (empty for adult student)"
parents_name; "Parent's name"
parent_name; "Parent Name"
parent_teacher_conference_meeting_slip; "Parent-Teacher Conference Meeting Slip"
partner; "Partner"
partially_bought; "Partially Bought"
partially_bought_interval; "Partially Bought Interval"
pass_rate_0_100; "Pass Rate (0-100)"
pass_rate; "Pass Rate"
pass_test; "Pass Test"
passed; "Passed"
password; "Password"
past_tournaments; "Past Tournaments"
past_tournaments_from_date; "Past Tournaments From Date"
past_tournaments_to_date; "Past Tournaments To Date"
pay; "Pay"
pay_via_paypal; "Pay Via PayPal"
pay_with_credit_cart; "Pay With Credit Card"
payment; "Payment"
payment_item_added_to_basket; "Payment Item added to basket"
